t,z,authority_ratio,turns,release,valve,afilt,bhat,vz,state,itki,safety,thrust
0.67,0.404135645435,1.47858850882,0.45323801671,1,0.3,0.305569497856,14.5,0.0326374233396,3,0,0,210.712231685
0.68,0.404500844176,1.47858850882,0.45323801671,1,0.3,0.337075259835,14.5,0.0396313385655,3,0,0,210.539570411
0.69,0.404913007883,1.47858850882,0.45323801671,1,0.3,0.32973424826,14.5,0.042084464717,3,0,0,210.367074999
0.7,0.405329041716,1.47858850882,0.45323801671,1,0.3,0.290822812244,14.5,0.0405178776976,3,0,0,210.194745265
0.71,0.405712451506,1.47858850882,0.45323801671,1,0.3,0.228975898351,14.5,0.0356952415834,3,0,0,210.02258103
0.72,0.406034822031,1.47858850882,0.45323801671,1,0.3,0.15266422655,14.5,0.0284460415918,3,0,0,209.85058211
0.73,0.406275920424,1.47858850882,0.45323801671,1,0.3,0.0694195182892,14.5,0.0195670953247,3,0,0,209.678748326
0.74,0.406423160353,1.47858850882,0.45323801671,1,0.33,-0.0143539331671,14.5,0.00978960907558,3,0,0,209.507079495
0.75,0.406470962878,1.47858850882,0.45323801671,1,0.33,-0.0932242539407,14.5,-0.000212720352792,3,0,0,209.335575438
0.76,0.40642030216,1.47858850882,0.45323801671,1,0.33,-0.162452837859,14.5,-0.00979853588194,3,0,0,209.164235974
0.77,0.406278500853,1.47858850882,0.45323801671,1,0.33,-0.217765672395,14.5,-0.0183371685775,3,0,0,208.993060922
0.78,0.40605915029,1.47858850882,0.45323801671,1,0.33,-0.255310852889,14.5,-0.0252079728633,3,0,0,208.822050102
0.79,0.405781872823,1.47858850882,0.506256847162,1,0.33,-0.271896763081,14.5,-0.0298343201661,3,0,0,208.651203335
0.8,0.405471544483,1.47858850882,0.550031338518,1,0.33,-0.265528320027,14.5,-0.0317572324152,3,0,0,208.48052044
0.81,0.405189585937,1.47858850882,0.584561490777,1,0.33,-0.178841692598,14.5,-0.0235766871869,3,0,0,231.310834833
0.82,0.405044163345,1.47858850882,0.60984730394,1,0.33,-0.013443905434,14.5,-0.00469038071734,3,0,0,257.657114724
0.83,0.405123290997,1.47858850882,0.625888778006,1,0.33,0.190828361051,14.5,0.0207092135389,3,0,0,278.314996987
0.84,0.40546862832,1.47858850882,0.632685912976,1,0.33,0.393918378257,14.5,0.0480037493002,3,0,0,293.310213842
0.85,0.406079481942,1.47858850882,0.633773395687,1,0.33,0.566178381057,14.5,0.0734754334328,3,0,0,302.666851383
0.86,0.406925211588,1.47858850882,0.633773395687,1,0.33,0.691718024141,14.5,0.0948296726288,3,0,0,306.408803083
0.87,0.40796231667,1.47858850882,0.633773395687,1,0.33,0.772186317779,14.5,0.111805389575,3,0,0,306.694688802
0.88,0.409152599788,1.47858850882,0.633773395687,1,0.33,0.823498706679,14.5,0.125941301365,3,0,0,306.323528655
0.89,0.410478811208,1.47858850882,0.633773395687,1,0.33,0.864318330786,14.5,0.139278741445,3,0,0,305.952720826
0.9,0.411937722905,1.47858850882,0.633773395687,1,0.33,0.900793841933,14.5,0.152481363647,3,0,0,305.582424116
0.91,0.413527987378,1.47858850882,0.581025075859,1,0.33,0.933274050562,14.5,0.165549328145,3,0,0,305.212648666
0.92,0.415248259004,1.47858850882,0.543806116375,1,0.33,0.962080107158,14.5,0.178482825725,3,0,0,304.84339599
0.93,0.417053795724,1.47858850882,0.522116517233,1,0.33,0.910813614663,14.5,0.181695315234,3,0,0,275.03239083
0.94,0.41884471743,1.47858850882,0.515154057749,1,0.33,0.790142213764,14.5,0.175719526269,3,0,0,250.346915458
0.95,0.420547834553,1.47858850882,0.515154057749,1,0.33,0.637090730629,14.5,0.164489513015,3,0,0,237.136208572
0.96,0.422127544438,1.47858850882,0.515154057749,1,0.33,0.480790168958,14.5,0.151322850112,3,0,0,232.754897967
0.97,0.423573807272,1.47858850882,0.515154057749,1,0.33,0.33507826043,14.5,0.137916763236,3,0,0,232.539032016
0.98,0.424885616905,1.47858850882,0.515154057749,1,0.33,0.200395707164,14.5,0.124432226682,3,0,0,232.323545243
0.99,0.426062189297,1.47858850882,0.515154057749,1,0.33,0.0758608702889,14.5,0.110869329144,3,0,0,232.108314932
1,0.427102741264,1.47858850882,0.515154057749,1,0.33,-0.0393373867795,14.5,0.0972281557131,3,0,0,231.893325859
1.01,0.428006490472,1.47858850882,0.515154057749,1,0.33,-0.145945310609,14.5,0.0835087913666,3,0,0,231.678572678
1.02,0.428772655436,1.47858850882,0.515154057749,1,0.33,-0.244649448916,14.5,0.0697113209721,3,0,0,231.464053334
1.03,0.42940045552,1.47858850882,0.515154057749,1,0.33,-0.336081426447,14.5,0.0558358292916,3,0,0,231.249767061
1.04,0.429889110934,1.47858850882,0.515154057749,1,0.33,-0.420822338812,14.5,0.0418824009815,3,0,0,231.035713378
1.05,0.430237842735,1.47858850882,0.515154057749,1,0.33,-0.499406794813,14.5,0.0278511205933,4,0,0,230.821891929
1.06,0.430445872825,3.03638577483,0.515154057749,1,0.336,-0.572326635386,29.8428511638,0.0137420725736,4,0,0,230.608302407
1.07,0.430512423948,3.0247840867,0.515154057749,1,0.342,-0.640034355027,29.8079434295,-0.000444658735441,4,0,0,230.394944517
1.08,0.430436719693,3.01159927366,0.515154057749,1,0.348,-0.702946249511,29.7647798548,-0.0147089890962,4,0,0,230.181817969
1.09,0.430217984491,2.9973738234,0.515154057749,1,0.354,-0.761445311783,29.7144747486,-0.0290508343753,4,0,0,229.968922478
